租金,押金,户型,面积,朝向,楼层,装修,类型,小区,街道,房屋编码,更新时间
1900,付3押1,2室2厅1卫,99平方米,朝南,低层(共6层),简单装修,普通住宅,地丰里,西青 张家窝,3096269551312909,2023年07月16日
1500,半年付押1,1室1厅1卫,61.9平方米,朝南,高层(共6层),简单装修,普通住宅,詹滨西里社区,东丽 先锋路,3103065928752141,2023年07月16日
1900,付3押1,1室1厅1卫,64.2平方米,朝南,高层(共32层),精装修,普通住宅,嘉畅园,河北 建昌道街,3108763647008783,2023年07月16日
2000,付3押1,2室1厅0卫,67平方米,朝南,中层(共36层),精装修,普通住宅,碧春园,红桥 双环邨街,3103094693289984,2023年07月16日
3600,付3押1,3室2厅2卫,134平方米,南北,低层(共33层),精装修,普通住宅,金旭园,河东 鲁山道,3112985993110530,2023年07月16日
1900,付3押1,2室1厅1卫,75平方米,南北,高层(共15层),精装修,普通住宅,华润橡树湾芳润轩,东丽 华明镇,3100293211889667,2023年07月16日
4000,付3押1,2室2厅1卫,108平方米,朝南,中层(共18层),精装修,普通住宅,星月轩,开发区 第三大街,3106466671272965,2023年07月16日
1800,付3押1,1室1厅1卫,56平方米,南北,低层(共6层),精装修,普通住宅,康桥里,河北 建昌道街,3111910002859023,2023年07月16日
4200,付3押1,3室2厅2卫,124平方米,南北,中层(共8层),精装修,普通住宅,龙湖天宸原著,津南 海河教育园区,3026812332481551,2023年07月16日
2400,付3押1,2室1厅1卫,80平方米,朝南,低层(共31层),精装修,普通住宅,新城家园,塘沽 新港街,3106539865333762,2023年07月16日
5500,付3押1,3室1厅2卫,100平方米,南北,高层(共6层),精装修,普通住宅,寿安里,和平 新兴街,3113293638067210,2023年07月16日
6000,付3押1,2室1厅1卫,78.8平方米,朝南,中层(共61层),精装修,普通住宅,和平翰林公馆,和平 劝业场,3113837150346243,2023年07月16日
2000,付3押1,2室1厅1卫,80平方米,朝南,高层(共26层),简单装修,普通住宅,荣乐园,北辰 青光,3113108883366921,2023年07月16日
2200,付3押1,2室1厅1卫,86平方米,南北,高层(共33层),精装修,普通住宅,首创国际城,塘沽 工农村街,3106386885387268,2023年07月16日
2000,付3押1,2室2厅1卫,86平方米,朝南,高层(共18层),精装修,普通住宅,鲲贝园,开发区 中新生态城,3099431635722240,2023年07月16日
2400,付3押1,2室1厅1卫,95平方米,朝南,高层(共34层),精装修,普通住宅,晓镇家园,塘沽 工农村街,3086655907126284,2023年07月16日
4700,付3押1,1室1厅1卫,67.4平方米,朝南,高层(共49层),精装修,普通住宅,都会轩,和平 体育馆,3113850434755595,2023年07月16日
2300,付3押1,2室1厅1卫,79平方米,朝北,高层(共27层),简单装修,普通住宅,鸿正富贵嘉园,塘沽 新港街,3087908111883268,2023年07月16日
3500,付3押1,2室1厅1卫,54平方米,南北,中层(共6层),精装修,普通住宅,朝阳里(和平),和平,3110623077196803,2023年07月16日
3500,面议,2室2厅1卫,90.3平方米,南北,高层(共26层),精装修,其他,美域豪庭,西青 李七庄,3111656645058569,2023年07月16日
2100,面议,2室1厅1卫,104平方米,南北,高层(共6层),精装修,普通住宅,胜景花园,河北 新开河街,3104756680826884,2023年07月16日
3200,面议,2室1厅1卫,97.2平方米,南北,低层(共10层),精装修,普通住宅,春和仁居,河北 建昌道街,3111943948149772,2023年07月16日
2500,付3押1,3室1厅1卫,94.2平方米,朝南,高层(共22层),精装修,普通住宅,雪优花园,东丽 华明镇,3052250353983490,2023年07月16日
5200,付3押1,2室1厅1卫,98平方米,南北,低层(共7层),精装修,普通住宅,森淼公寓,河西 马场道,3113036123251720,2023年07月16日
1700,付1押1,1室0厅1卫,30平方米,朝南,低层(共30层),精装修,普通住宅,中储正荣栋境,河东 上杭路,3111679213298700,2023年07月16日
1500,面议,1室1厅1卫,30平方米,朝南,高层(共7层),简单装修,普通住宅,天环里,南开 万兴街,3100503112621061,2023年07月16日
1260,面议,1室1厅1卫,40平方米,朝南,高层(共6层),简单装修,普通住宅,宜鹏园,北辰 宜兴埠,3101816032371714,2023年07月16日
3000,付3押1,2室2厅1卫,124.2平方米,朝北,低层(共18层),精装修,普通住宅,阳光100国际新城东园,南开 体育中心,3105059415516169,2023年07月16日
1800,付3押1,1室1厅1卫,44平方米,朝南,低层(共11层),精装修,普通住宅,颐景公寓,东丽 空港经济区,3113464284553218,2023年07月16日
1650,付1押1,1室1厅1卫,30平方米,朝南,低层(共6层),精装修,普通住宅,水蓝花园,南开 水上公园,3101767051273231,2023年07月16日
1645,年付押1,1室1厅1卫,40平方米,朝南,低层(共7层),精装修,普通住宅,新城小区,河西 挂甲寺,3111995607540750,2023年07月16日
3300,付3押1,3室2厅2卫,149.5平方米,朝南,低层(共13层),精装修,公寓,颐景公寓,东丽 空港经济区,3112056892923914,2023年07月16日
1200,付3押1,2室2厅1卫,80平方米,朝南,中层(共33层),精装修,普通住宅,星耀五洲枫情阳光城,津南 津南八里台,3110479878347777,2023年07月16日
2200,面议,2室2厅1卫,110平方米,南北,低层(共16层),简单装修,普通住宅,碧海鸿庭,塘沽 塘沽新村街,3110524140674053,2023年07月16日
4200,付3押1,2室1厅1卫,59平方米,南北,中层(共7层),精装修,普通住宅,鸿记里,和平 劝业场,3110707729161230,2023年07月16日
3000,付3押1,2室2厅1卫,86.1平方米,南北,高层(共18层),精装修,普通住宅,意境兰庭,东丽 空港经济区,3103567924880391,2023年07月16日
1550,付1押1,1室0厅1卫,45平方米,朝南,低层(共25层),精装修,普通住宅,振业名邸,红桥 双环邨街,3100844879044612,2023年07月16日
15000,年付,5室2厅2卫,234平方米,南北,中层(共32层),精装修,普通住宅,恒大帝景,河东 富民路,2977115388226561,2023年07月16日
1700,付3押1,3室1厅1卫,90平方米,南北,高层(共34层),精装修,普通住宅,远洋城滨雅花园,塘沽 胡家园街,3110586597188615,2023年07月16日
1500,付3押1,2室1厅1卫,54.7平方米,南北,共5层,简单装修,普通住宅,渤海石油新村(三区),塘沽 渤海石油街,3110506317702153,2023年07月16日
10000,付3押1,4室2厅2卫,181平方米,南北,高层(共33层),精装修,其他,仁恒公园世纪,河西 梅江南,3109089661476873,2023年07月16日
1600,付3押1,2室1厅1卫,107.4平方米,南北,高层(共6层),简单装修,普通住宅,春江里,东丽 大毕庄镇,3077988323138569,2023年07月16日
2100,付3押1,2室1厅1卫,55平方米,南北,高层(共6层),精装修,普通住宅,贺福里,河西 柳林,3113532187368459,2023年07月16日
1800,付3押1,1室1厅1卫,39平方米,朝南,中层(共6层),精装修,普通住宅,河华里,塘沽 塘沽新村街,3107605202052102,2023年07月16日
1900,付3押1,2室1厅1卫,74.6平方米,朝南,中层(共31层),精装修,普通住宅,晴景家园,塘沽 工农村街,3108784015268879,2023年07月16日
1200,付3押1,2室2厅1卫,87.2平方米,朝南,低层(共32层),简单装修,普通住宅,大唐盛世观雅庭院,津南 津南八里台,3113343370927108,2023年07月16日
2000,付3押1,2室1厅1卫,64.7平方米,朝南,共5层,简单装修,普通住宅,泰山里, ,3103514471963648,2023年07月16日
1500,付3押1,2室1厅1卫,83.7平方米,朝南,中层(共6层),精装修,普通住宅,红霞里(津南),津南,3098948845116417,2023年07月16日
6000,付3押1,2室1厅1卫,111平方米,南北,中层(共6层),简单装修,普通住宅,德恩里,河西 桃园街,3111965850771471,2023年07月16日
2300,付3押1,2室1厅1卫,95平方米,朝南,中层(共34层),精装修,普通住宅,首创国际城,塘沽 工农村街,3093228583050247,2023年07月16日
2550,付3押1,2室1厅1卫,56平方米,朝南,高层(共7层),简单装修,普通住宅,兴河里小区,和平 新兴街,3110154221542415,2023年07月16日
1700,付1押1,1室1厅1卫,45平方米,朝南,低层(共19层),精装修,普通住宅,振业名邸,红桥 双环邨街,3113730286134287,2023年07月16日
2800,面议,2室1厅1卫,93平方米,南北,中层(共30层),精装修,普通住宅,悦海园,塘沽 解放路街,3100253846559750,2023年07月16日
3500,付3押1,1室2厅1卫,61.7平方米,东北,高层(共30层),简单装修,普通住宅,龙亭家园,南开 鼓楼,3114714208642063,2023年07月16日
5500,付3押1,3室2厅2卫,145平方米,南北,高层(共16层),精装修,普通住宅,水木天成临湾园,红桥 咸阳北路街,3104987930240008,2023年07月16日
1700,付1押1,1室1厅1卫,35平方米,朝南,低层(共23层),精装修,普通住宅,中储正荣栋境,河东 上杭路,3085017030745090,2023年07月16日
1700,付1押1,2室1厅1卫,30平方米,朝南,中层(共20层),精装修,普通住宅,大运河府,北辰 瑞景街,3114615030243341,2023年07月16日
2500,付1押1,2室1厅1卫,48.8平方米,南北,高层(共6层),精装修,普通住宅,鹤园北里,南开 王顶堤,3111739239652355,2023年07月16日
1600,付1押1,2室1厅1卫,60平方米,南北,中层(共6层),精装修,普通住宅,延安里,塘沽 向阳街,3046502122003465,2023年07月16日
4500,付1押1,3室1厅2卫,80.8平方米,南北,中层(共22层),精装修,普通住宅,金冠里,南开 王顶堤,3114484566958080,2023年07月16日
2700,付3押1,3室2厅1卫,89平方米,朝南,低层(共7层),精装修,普通住宅,阳光城未来悦,津南 海河教育园区,3101953756208143,2023年07月16日
1700,付3押1,1室1厅1卫,60平方米,南北,高层(共15层),精装修,普通住宅,和畅园(滨海),滨海,3111688229886985,2023年07月16日
2500,付3押1,2室2厅1卫,84平方米,南北,中层(共9层),精装修,普通住宅,宜禾美锦园,开发区 中新生态城,3109272995994635,2023年07月16日
2600,付3押1,1室1厅1卫,37.9平方米,朝西,中层(共7层),精装修,普通住宅,三合里,河西 马场道,3113447480777731,2023年07月16日
3600,面议,3室2厅2卫,118平方米,南北,低层(共13层),精装修,其他,融林园,东丽 张贵庄街,3107695422906368,2023年07月16日
1400,付1押1,1室1厅1卫,30平方米,朝南,高层(共12层),精装修,普通住宅,富力津门湖黛湖花园,西青 新梅江南,3106599098342407,2023年07月16日
1800,付1押1,1室1厅1卫,40平方米,朝南,低层(共11层),精装修,普通住宅,万科西华府博华苑,西青 中北,3088205799940096,2023年07月16日
1800,付1押1,1室1厅1卫,40平方米,朝南,低层(共11层),精装修,普通住宅,万科西华府博华苑,西青 中北,3087826288239620,2023年07月16日
1700,付3押1,2室1厅1卫,80平方米,朝南,高层(共25层),精装修,普通住宅,欣然苑,塘沽 北塘街,3114684088409100,2023年07月16日
1300,付1押1,1室0厅1卫,30平方米,朝南,低层(共10层),精装修,普通住宅,喜峰嘉园,河北 宁园街,3113148167708683,2023年07月16日
3500,付3押1,2室1厅1卫,77平方米,南北,高层(共7层),简单装修,普通住宅,新建村小区,和平 和平周边,3093237782848521,2023年07月15日
2500,付3押1,1室1厅1卫,42平方米,朝南,中层(共26层),精装修,普通住宅,融创奥城天玺,南开 体育中心,3103100442926090,2023年07月16日
560,付1押1,3室1厅1卫,16平方米,朝南,中层(共8层),精装修,普通住宅,旭辉燕南园,西青 精武,3055263453356041,2023年07月16日
2200,付3押1,3室2厅1卫,90平方米,朝南,中层(共32层),精装修,普通住宅,津南新城合安园,津南 咸水沽,3112289654498306,2023年07月16日
1600,付3押1,2室2厅1卫,70平方米,南北,共5层,简单装修,普通住宅,渤海石油新村(四区),塘沽 渤海石油街,3105926849798155,2023年07月16日
4980,付1押1,4室2厅2卫,244平方米,南北,低层(共27层),精装修,普通住宅,合生君景湾,开发区 第五大街,3114399343207427,2023年07月16日
7500,付3押1,2室1厅1卫,89.5平方米,西北,高层(共41层),豪华装修,普通住宅,融创星河和平印,和平 南营门,3021429158256654,2023年07月16日
3500,付3押1,2室1厅1卫,56平方米,朝南,共5层,精装修,普通住宅,竞业里, ,3109107770647558,2023年07月16日
2000,付3押1,2室1厅1卫,58.9平方米,南北,高层(共6层),精装修,普通住宅,吉祥里,塘沽 解放路街,3092261059354632,2023年07月16日
1500,付3押1,2室1厅1卫,90平方米,南北,中层(共26层),精装修,普通住宅,远洋城滨兴花园,滨海新区 滨海城区,3111983954059271,2023年07月16日
2800,付3押1,2室2厅1卫,87平方米,南北,低层(共29层),简单装修,普通住宅,雅仕兰庭,河东 富民路,3114767062227970,2023年07月16日
1200,付3押1,1室1厅1卫,60平方米,朝南,高层(共28层),简单装修,普通住宅,南仓新苑,北辰 北仓,3096299569029120,2023年07月16日
4000,付3押1,2室1厅1卫,59.8平方米,东西,中层(共6层),精装修,普通住宅,市政里小区,和平 南营门,3110209989780494,2023年07月16日
2600,付3押1,2室2厅1卫,100平方米,南北,高层(共24层),精装修,普通住宅,雪优花园,东丽 华明镇,3111838291403789,2023年07月15日
1500,付3押1,1室1厅1卫,62平方米,朝南,低层(共30层),精装修,普通住宅,盛泽园,北辰 青光,3112107918220300,2023年07月16日
2300,付3押1,2室2厅1卫,93平方米,南北,高层(共21层),精装修,普通住宅,鲲玉园,开发区 中新生态城,3101809469562882,2023年07月16日
6000,面议,1室1厅1卫,66.3平方米,东南,中层(共50层),精装修,普通住宅,都会轩,和平 体育馆,3109064266424334,2023年07月16日
4600,付3押1,2室2厅1卫,83.7平方米,东北,低层(共30层),精装修,普通住宅,尚佳新苑,南开 鼓楼,3110566125214727,2023年07月16日
2100,付3押1,1室1厅1卫,38平方米,朝南,中层(共17层),精装修,普通住宅,康达尚郡,南开 华苑,3113053069991950,2023年07月16日
2300,付3押1,2室1厅1卫,72.4平方米,朝南,中层(共24层),简单装修,普通住宅,贵贤里,河北 铁东路街,3097561593963526,2023年07月16日
2300,付3押1,2室1厅1卫,55平方米,朝南,高层(共6层),简单装修,普通住宅,益寿东里,河东 常州道,3113133226319887,2023年07月16日
1800,付1押1,1室1厅1卫,50平方米,朝南,高层(共20层),精装修,普通住宅,富民河畔家园,河东 富民路,3099122825863177,2023年07月16日
3000,付3押1,2室2厅1卫,93平方米,南北,高层(共30层),精装修,普通住宅,大津城臻品,西青 李七庄,3097424233897985,2023年07月16日
800,付1押1,3室1厅2卫,32平方米,朝南,低层(共21层),精装修,普通住宅,贻欣园,开发区 第一大街,3091721461260294,2023年07月16日
7000,付3押1,2室1厅1卫,90.8平方米,东南,低层(共31层),精装修,普通住宅,金德园,和平 南营门,3106174167049231,2023年07月16日
750,付1押1,3室1厅1卫,19.8平方米,朝南,低层(共6层),精装修,普通住宅,赛园里,河北 宁园街,3110035747185676,2023年07月16日
3300,付3押1,2室2厅1卫,93.3平方米,南北,低层(共26层),精装修,普通住宅,美域豪庭,西青 李七庄,3098843120656385,2023年07月15日
3500,付3押1,2室2厅1卫,90.3平方米,朝南,高层(共26层),精装修,普通住宅,美域豪庭,西青 李七庄,3110503872766978,2023年07月16日
2800,付3押1,2室1厅1卫,88平方米,南北,高层(共33层),精装修,普通住宅,万海华府北苑,滨海新区 滨海城区,3108776305220621,2023年07月16日
7000,付3押1,3室1厅2卫,115.7平方米,南北,高层(共7层),精装修,普通住宅,尚府云台花园,和平 劝业场,3114513679541249,2023年07月16日
650,付1押1,3室1厅1卫,20平方米,朝南,中层(共24层),精装修,普通住宅,欣荣馨苑,河东 春华街,3112966488892420,2023年07月16日
4500,付3押1,3室2厅2卫,140平方米,南北,高层(共11层),精装修,普通住宅,海韵园(塘沽),塘沽,3103211849801738,2023年07月16日
3200,付3押1,2室1厅1卫,93平方米,南北,低层(共30层),精装修,普通住宅,悦海园,塘沽 解放路街,3108826509451274,2023年07月16日
2000,面议,2室2厅1卫,96.8平方米,南北,高层(共6层),简单装修,普通住宅,中盛里,西青 李七庄,3049288672599040,2023年07月16日
850,付1押1,3室1厅2卫,30平方米,朝南,中层(共21层),精装修,普通住宅,世富嘉园,开发区 第二大街,3110602034371597,2023年07月16日
788,付1押1,3室1厅2卫,25平方米,朝南,中层(共12层),精装修,普通住宅,泰达新天地,开发区 第二大街,3094619510776833,2023年07月16日
850,付1押1,3室1厅1卫,20平方米,朝南,高层(共35层),精装修,普通住宅,盈秀园,南开 天拖南,3113422891817988,2023年07月16日
2700,面议,1室1厅1卫,45平方米,朝南,中层(共26层),精装修,普通住宅,融创奥城天玺,南开 体育中心,3105974690831374,2023年07月14日
750,付1押1,3室2厅2卫,15平方米,南北,高层(共6层),精装修,普通住宅,龙居花园三区,西青 大寺,3108901497281546,2023年07月14日
7300,付3押1,2室2厅1卫,92平方米,西北,高层(共41层),精装修,公寓,融创星河和平印,和平 南营门,3111906632360964,2023年07月16日
2200,付3押1,2室2厅1卫,94.1平方米,南北,高层(共34层),精装修,普通住宅,嘉安园,塘沽 工农村街,3110655034204171,2023年07月16日
8300,付3押1,3室2厅2卫,158.7平方米,南北,中层(共28层),豪华装修,普通住宅,天越园,南开 鼓楼,3069127708877829,2023年07月16日
2000,付3押1,1室1厅1卫,39平方米,朝南,高层(共7层),简单装修,普通住宅,卫安中里,南开 广开街,3112014568711171,2023年07月16日
2500,付3押1,1室1厅1卫,39.2平方米,朝南,高层(共6层),简单装修,普通住宅,信华楼,和平 南营门,3113346912934921,2023年07月16日
1600,付3押1,1室1厅1卫,24.5平方米,朝北,高层(共7层),简单装修,普通住宅,新义信里,河东 大王庄,3086075324668941,2023年07月16日
2600,付3押1,1室1厅1卫,44.6平方米,南北,高层(共6层),简单装修,普通住宅,群富里,南开 万兴街,3106613775981571,2023年07月16日
1800,付3押1,1室1厅1卫,28.3平方米,朝东,高层(共7层),简单装修,普通住宅,卫安中里,南开 广开街,3083267742310415,2023年07月15日
2200,付3押1,2室1厅1卫,25.4平方米,南北,共5层,简单装修,普通住宅,育红楼, ,3113043371580423,2023年07月16日
2000,付3押1,2室1厅1卫,103.3平方米,朝北,高层(共6层),简单装修,普通住宅,人民家园,红桥 双环邨街,3114737426456584,2023年07月16日
2600,面议,2室1厅1卫,43平方米,朝东,高层(共7层),简单装修,普通住宅,珠波里,河西 越秀路,3113496688238592,2023年07月16日
1900,付3押1,1室1厅1卫,36.9平方米,朝南,共5层,简单装修,普通住宅,新闻里, ,3113292425847823,2023年07月16日
3700,付3押1,2室1厅1卫,65.5平方米,朝南,高层(共6层),简单装修,普通住宅,怀远里,和平 南市,3107966798028800,2023年07月16日
2000,付3押1,1室1厅1卫,35平方米,朝南,中层(共8层),简单装修,普通住宅,元兴新里,河西 桃园街,3113097833896963,2023年07月16日
1400,付3押1,1室0厅1卫,22.4平方米,朝南,中层(共6层),简单装修,普通住宅,本溪楼,红桥 咸阳北路街,3114552463138820,2023年07月16日
1600,付3押1,2室1厅1卫,60平方米,朝南,高层(共6层),简单装修,普通住宅,金华里(东丽),东丽,3114469538423815,2023年07月16日
1700,面议,1室1厅1卫,37.6平方米,朝南,高层(共6层),简单装修,普通住宅,前程里(河西),河西,3114758549134340,2023年07月16日
1700,付3押1,1室1厅1卫,42.1平方米,朝东,高层(共7层),简单装修,普通住宅,拥军里,南开 向阳路,3113495534740483,2023年07月16日
1750,付3押1,2室1厅1卫,61平方米,朝南,高层(共6层),简单装修,普通住宅,景致里,河西 柳林,3112017800781838,2023年07月16日
1600,付3押1,1室1厅1卫,62.9平方米,朝南,中层(共6层),简单装修,普通住宅,万达新城普旺里,北辰 普东街,3114710567396365,2023年07月16日
2600,付3押1,2室1厅1卫,52.7平方米,南北,共5层,简单装修,普通住宅,环湖西里(南区),河西 天塔,3114441722847232,2023年07月16日
2000,付3押1,2室1厅1卫,43.6平方米,东南,高层(共6层),简单装修,普通住宅,临潼西里,南开 长虹街,3112072394843139,2023年07月16日
2000,付3押1,1室1厅1卫,71.3平方米,朝西,高层(共6层),简单装修,普通住宅,锦西南里,红桥 咸阳北路街,3111883274413059,2023年07月16日
1700,付3押1,1室1厅1卫,42.4平方米,朝东,低层(共7层),简单装修,普通住宅,林容里,河北 光复道街,3113104906411013,2023年07月15日
1600,付3押1,1室1厅1卫,38平方米,朝东,低层(共6层),简单装修,普通住宅,月秋里,河北 鸿顺里街,3110556376458240,2023年07月16日
1600,付3押1,1室1厅1卫,49.5平方米,朝南,低层(共7层),简单装修,普通住宅,雅美里,南开 长虹街,3114843774411782,2023年07月16日
1400,付3押1,1室1厅1卫,47平方米,朝南,高层(共7层),简单装修,普通住宅,中山门东里,河东 中山门,3111701556289551,2023年07月15日,1400,付3押1,1室1厅1卫,47平方米,朝南,高层(共7层),简单装修,普通住宅,中山门东里,河东 中山门,3111701556289551,2023年07月15日
1000,付3押1,2室1厅1卫,83平方米,朝南,中层(共6层),简单装修,普通住宅,红霞里(津南),津南,3114464856645639,2023年07月16日
3700,付3押1,3室2厅1卫,106平方米,南北,高层(共7层),简单装修,普通住宅,米兰弘丽园,红桥 芥园街,3111864880259072,2023年07月16日
2400,付3押1,2室1厅1卫,68.5平方米,朝东,高层(共7层),简单装修,普通住宅,昆璞里,河北 鸿顺里街,3114531142443023,2023年07月16日
1600,付3押1,1室1厅1卫,26.9平方米,朝南,低层(共7层),简单装修,普通住宅,文苑楼,河西 友谊路,3112159306966031,2023年07月16日
1700,付3押1,1室1厅1卫,68平方米,朝南,高层(共6层),简单装修,普通住宅,植园里,南开 八里台,3112014812848141,2023年07月16日
2100,付3押1,2室1厅1卫,60平方米,朝南,高层(共6层),简单装修,普通住宅,佳园南里,红桥 双环邨街,3113422849500167,2023年07月16日
3900,付3押1,2室1厅1卫,80平方米,东西,低层(共6层),简单装修,普通住宅,卫华里(和平),和平,3114509561895951,2023年07月16日
2100,付3押1,2室1厅1卫,78平方米,朝南,低层(共6层),简单装修,普通住宅,宸宜花园,北辰 普东街,3113554419522567,2023年07月16日
5800,面议,4室1厅2卫,133.6平方米,南北,共1层,简单装修,普通住宅,金典花园, ,3112116800086029,2023年07月16日
1300,付3押1,2室2厅1卫,110平方米,南北,共5层,简单装修,普通住宅,九通家园, ,3111716785708039,2023年07月16日
1450,付3押1,2室1厅1卫,55.9平方米,南北,高层(共6层),简单装修,普通住宅,昌图楼,红桥 咸阳北路街,3111655632134153,2023年07月16日
2900,付3押1,3室1厅2卫,180平方米,南北,低层(共6层),简单装修,普通住宅,翠涛里,北辰 宜兴埠,3113283408763919,2023年07月16日
2200,付3押1,1室1厅1卫,46.8平方米,南北,低层(共6层),简单装修,普通住宅,金波里,河北 望海楼街,3111691312521219,2023年07月16日
650,面议,1室1厅1卫,76平方米,南北,中层(共6层),简单装修,普通住宅,宝鑫景苑,宝坻 海滨街,3111872416325641,2023年07月16日
